oldLink,Related entry?,Group,Name,Name2,Description,Location,Latitude,Longitude,GoogleMapsLink,keyword,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image3Caption,Image3Source,Image3SourceLink,Image4,Image4Caption,Image4Source,Image4SourceLink,Image5,Image5Caption,Image5Source,Image5SourceLink
https://conntours.oncell.com/en/the-architectural-wonders-trail-stops-204050.html,,,The Architectural Wonders Tour,,,,,,,,orientation-architecture.jpg,,,,,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/roseland-cottage-204042.html,,architecture,Roseland Cottage,Woodstock CT,,"556 CT-169, Woodstock, CT 06281",41.9493614,-71.9763241,https://goo.gl/maps/NSCiTk6UJkCLf7PP6,roseland-cottage,roseland-cottage.jpg,Roseland Cottage.,Source: Courtesy of Connecticut Office of Tourism,https://www.ctvisit.com/listings/roseland-cottage-museum,media/roseland-cottage2.jpg,Roseland Cottage (Bowen Cottage). Interior view from back parlor towards front parlor (May 1970),Source: Library of Congress,https://www.loc.gov/pictures/item/ct0347.photos.025192p/,,,,,,,,,,,,
https://conntours.oncell.com/en/the-frog-bridge-204045.html,,architecture,The Frog Bridge,Willimantic CT,,"South St, Willimantic CT 06226",41.7040633,-72.2098182,https://goo.gl/maps/TdWMNyoJE8pC5qQj9,frog-bridge,frog-bridge.jpg,"Detail of ""The Frog Bridge.""",Source: Courtesy of Connecticut Office of Tourism,,,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/armsmear-204046.html,,architecture,Armsmear,Hartford CT,,"80 Wethersfield Ave, Hartford, CT 06114",41.7537294,-72.674107,https://goo.gl/maps/qfc5591sq8tAaBcs5,armsmear,armsmear.jpg,Armsmear.,Source: Creative Commons,,media/armsmear2.jpg,Exterior rear view of Armsmear.,Source: Library of Congress Prints and Photographs Division,,media/armsmear3.jpg,Interior room at Armsmear.,Source: Library of Congress Prints and Photographs Division,,,,,,,,,
https://conntours.oncell.com/en/the-boat-building-204036.html,,architecture,"The ""Boat Building""",Hartford CT,,"Phoenix Plaza, 1 American Row, Hartford CT 06103",41.764961,-72.6708275,https://goo.gl/maps/rKPVyMpnRHTBweBp7,boat-building,boat-building.jpg,"""Boat Building,"" Hartford.",Source: Creative Commons,,,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/connecticut-state-capitol-building-204044.html,,architecture,Connecticut State Capitol Building,Hartford CT,,"210 Capitol Ave, Hartford, CT 06106",41.7641979,-72.682467,https://goo.gl/maps/SitVggynawP6dNBm6,ct-capitol,ct-capitol.jpg,Connecticut State Capitol.,Source: Library of Congress Prints and Photographs Division,,media/ct-capitol2.jpg,Connecticut State Capitol cupola.,Public Domain,,media/ct-captiol3.jpg,Detail of Capitol exterior.,Source: Courtesy of Connecticut Office of Tourism,,,,,,,,,
https://conntours.oncell.com/en/soldiers-and-sailors-memorial-arch-204049.html,,architecture,Soldiers & Sailors Memorial Arch,Hartford CT,,"15 Trinity St, Hartford, CT 06106",41.7659676,-72.6813277,https://goo.gl/maps/Z3QZTYoxcg7oVVic9,soldiers-sailors-arch,soldiers-sailors-arch.jpg,Soldiers and Sailors Memorial Arch.,Source: Courtesy of Connecticut Office of Tourism,,media/soldiers-sailors-arch2.jpg,Memorial Arch and State House (circa 1906).,Source: Library of Congress Prints and Photographs Division,,media/soldiers-sailors-arch3.jpg,"Detail of Soldiers and Sailors Arch in Bushnell Park, Hartford, Connecticut.",Source: Library of Congress Prints and Photographs Division,,,,,,,,,
https://conntours.oncell.com/en/the-austin-house-204043.html,,architecture,The Austin House,Hartford CT,,"130 Scarborough St, Hartford, CT 06105",41.780734,-72.7080997,https://goo.gl/maps/FmkkNvFSu8xyXkfB7,austin-house,austin-house.jpg,"A. Everett Austin House, Hartford, Connecticut.",,,,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/heublein-tower-204048.html,,architecture,Heublein Tower,Simsbury CT,,"Heublein Tower, Simsbury, CT 06070",41.8261049,-72.7982986,https://goo.gl/maps/svKNxCWCt4vBFtys9,heublein-tower,heublein-tower.jpg,"Heublein Tower, Simsbury.",Source: Creative Commons,,media/heublein-tower2.jpg,Heublein Tower on Talcott Mountain.,Shared under Creative Commons,,,,,,,,,,,,,
https://conntours.oncell.com/en/west-cornwall-covered-bridge-204038.html,,architecture,West Cornwall Covered Bridge,West Cornwall CT,,"West Cornall Covered Bridge, Housatonic River, West Cornwall, CT 06796",41.8715504,-73.3637806,https://goo.gl/maps/tj3NURU11wkDWUe48,west-cornwall-bridge,west-cornwall-bridge.jpg,West Cornwall Covered Bridge.,Source: Courtesy of Connecticut Office of Tourism,,media/west-cornwall-bridge2.jpg,West Cornwall Covered Bridge.,Shared under Creative Commons,,media/west-cornwall-bridge3.jpg,West Cornwall Covered Bridge.,Source: Wikipedia Public Domain,,,,,,,,,
https://conntours.oncell.com/en/the-glass-house-204037.html,,architecture,The Glass House,New Canaan CT,,"199 Elm St, New Canaan, CT 06840",41.1464339,-73.4967868,https://goo.gl/maps/CEAL1mQcWBsUbafV9,glass-house,glass-house.jpg,The Glass House.,Source: Courtesy of Connecticut Office of Tourism,,media/glass-house2.jpg,Interior of Philip Johnson's Glass House.,Source: Library of Congress Prints and Photographs Division,,,,,,,,,,,,,
https://conntours.oncell.com/en/the-barnum-museum-204047.html,,architecture,The Barnum Museum,Bridgeport CT,,"777 Main St, Bridgeport, CT 06604",41.185391,-73.1812063,https://goo.gl/maps/d5kd9mC95eSqBKYt7,barnum-museum,barnum-museum.jpg,Barnum Museum.,Source: Creative Commons,,media/barnum-museum2.jpg,Detail of Barnum Museum.,Shared under Creative Commons,,media/barnum-museum3.jpg,"P.T. Barnum, between 1855 and 1865.",Source: Library of Congress Prints and Photographs Division,,,,,,,,,
https://conntours.oncell.com/en/henry-whitfield-state-museum-215480.html,,architecture,Henry Whitfield State Museum,Guilford CT,,"248 Old Whitfield St, Guilford, CT 06437",41.2782545,-72.675331,https://goo.gl/maps/2NfBpVxcpSF4UCG59,henry-whitfield,henry-whitfield.jpg,Henry Whitfield House.,,,media/henry-whitfield2.jpg,Henry Whitfield House Great Hall.,Source: Geoffrey Gross.,,media/henry-whitfield3.jpg,1930s Restoration.,"Source: Connecticut State Library, Henry Whitfield House Restoration and Landscaping Projects, 1900-1940 (RG 024:001)",,,,,,,,,
https://conntours.oncell.com/en/gillette-castle-204040.html,,architecture,Gillette Castle,East Haddam CT,,"67 River Rd, East Haddam, CT 06423",41.4315895,-72.429871,https://goo.gl/maps/kVoja7nFvtyCvmFX7,gillette-castle,gillette-castle.jpg,Gillette Castle.,,,media/gillette-castle2.jpg,View of the Connecticut River from Gillette Castle.,Source: Courtesy of Connecticut Office of Tourism,,,,,,,,,,,,,
https://conntours.oncell.com/en/thomas-lee-house-and-museum-204041.html,,architecture,Thomas Lee House & Museum,East Lyme CT,,"228 W Main St, Niantic, CT 06357",41.3177018,-72.2381139,https://goo.gl/maps/kSCi1ajsE17hJBjH7,thomas-lee,thomas-lee.jpg,Thomas Lee House.,"Source: Boston Public Library, Tichnor Brothers collection #79127",,media/thomas-lee2.jpg,"Thomas Lee House and Little Boston School, East Lyme (1935).","Source: PG 180, Mills Photograph Collection of Connecticut, 1895-1955, Connecticut History Illustrated and the Connecticut State Library",,,,,,,,,,,,,
https://conntours.oncell.com/en/the-mashantucket-pequot-museum-and-research-center-208051.html,,architecture,The Mashantucket Pequot Museum and Research Center,Ledyard CT,,"110 Pequot Trail, Ledyard, CT 06338",41.466002,-71.9628257,https://goo.gl/maps/9LgyPQmLZAy8nUEYA,mashantucket-pequot-museum,mashantucket-pequot-museum.jpg,,,,media/mashantucket-pequot-museum2.jpg,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/thematic-tours-187259.html,,,The Freedom Trail,,,,,,,,orientation-freedom.jpg,,,,,,,,,,,,,,,,,,,
https://conntours.oncell.com/en/prudence-crandall-museum-201434.html,"See Women: same images, diff text",freedom,Prudence Crandall Museum,Canterbury CT,,"1 S Canterbury Rd, Canterbury CT 06331",41.6980715,-71.971647,https://goo.gl/maps/zDDMqJsgqxMgaEe86,prudence-crandall,prudence-crandall.jpg,Portrait of Prudence Crandall.,Source: Courtesy of Connecticut Department of Economic and Community Development,,prudence-crandall2.jpg,Prudence Crandall House.,Source: Jerry Dougherty,,,,,,,,,,,,,
